PartitionKey,RowKey,Timestamp,Description,Description@type,Duration,Duration@type,Image,Image@type,Name,Name@type,VideoId,VideoId@type
f39955db-8774-4712-aeb6-96a14037a6a6,40ca1813-9b62-4f83-9706-5324df342efc,2018-12-30T14:36:01.690Z,"To save Asgard from a bloodthirsty goddess of death, the mighty Thor will have to battle his way to freedom and find a way back home.",Edm.String,2h 11m,Edm.String,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABZQSilQcNVJkFjyWKoy929f7Gw-vJ3nkiKM0MAjUtTTGuCHMYgPbsen7SpxOFenNHvt5akBcpVnWFQ9fXypfWwzsSttghfoY0p3oewVmvvuz6ylOuiHkWPJ3jJDXsWdM9otnxvmcdng.webp,Edm.String,Thor: Ragnarok,Edm.String,40ca1813-9b62-4f83-9706-5324df342efc,Edm.String
f39955db-8774-4712-aeb6-96a14037a6a6,4130f98c-1c9f-4d7f-84fb-70bd1f2466b1,2018-12-29T13:46:32.060Z,"Harried fashion entrepreneur Jules gets a surprise boost from Ben, a 70-year-old widower who answers an ad seeking a senior intern.",Edm.String,2h 30 min,Edm.String,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABeJaSwSA1FwqrwSN6FL7pfeBxwYJpTvgLsU6j8KyZ8arUAe26Uwyg8mJ2zLbPvz8eRj9TuaBVo_J3GNjLi1GpmY_MYa6GE3l8O6raZ402K3Y0zPi7r7ZPSEqoHPh_YJYDapQMlFkK48.webp,Edm.String,Intern,Edm.String,4130f98c-1c9f-4d7f-84fb-70bd1f2466b1,Edm.String
f39955db-8774-4712-aeb6-96a14037a6a6,7b50c01e-548d-488a-b210-2cc01f4849ea,2018-12-30T14:39:18.517Z,,,1h 42min,Edm.String,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABVuQvGWbmXK9INt3PedTEYVmwqT5D4l_8RFL4v35OhgpGY_IYm4TwexT4SJysK2S52M1QxTiErKF11Ldeo75-9AT55qOFxwfe1bMVoZeQU2T2N2JCaL_Rzpir6gL1riaTCqXe1eSKXA.webp,Edm.String,Cars 3,Edm.String,7b50c01e-548d-488a-b210-2cc01f4849ea,Edm.String
f39955db-8774-4712-aeb6-96a14037a6a6,871b406b-6dd7-4c50-a59e-ce37e6af6d39,2018-12-30T14:38:17.523Z,"After crash-landing on Earth, two royal teen aliens on the run struggle to blend in with humans as they evade intergalactic bounty hunters.",Edm.String,1h 1min,Edm.String,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABcuSeHqUgxj-9FzZxHzrJq85ivcYe9_7Hpjml-ND61onG-O9dLOCUQea7kVMJQX74Bg9_qv-gXWW2wKc0uS7gFw5SwfypCsS2nPsAZAJEgioFSIDkOoJDj58vDqPFRfn5oVIL9UwAg.jpg,Edm.String,Below,Edm.String,871b406b-6dd7-4c50-a59e-ce37e6af6d39,Edm.String
f39955db-8774-4712-aeb6-96a14037a6a6,a91eb87b-26cb-417d-bedf-b942afdc448c,2018-12-29T13:52:19.100Z,"Relegated to the rank of private due to institutional racism in WWII, experienced soldier Edward Carter single-handedly cripples an enemy stronghold.",Edm.String,2h 2min,Edm.String,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABUmrJlz_htZmgEfmq2Qj2pPtxCdydvr537XzWZswZjYaPcETbjlmGDGrsAATXXxvGdqWZ-xME0wddDTB_hFL93lbk9jUarhOXGbIUrxC_0k5iF82EnMMjEhiaOUKM8iTCDzUt6Agyw.jpg,Edm.String,Metal Of Honor,Edm.String,a91eb87b-26cb-417d-bedf-b942afdc448c,Edm.String
f39955db-8774-4712-aeb6-96a14037a6a6,af408a0b-1230-4d9b-94bb-0be4dc95b850,2018-12-29T13:59:22.300Z,"An optimistic koala tries to save his theater with a singing contest featuring a timid elephant, a teenage gorilla, an overworked sow and more.",Edm.String,1h 48min,Edm.String,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABUTSosihoCRXruvmCXsW6SduJbNxy8_viXQCBwQ0gENzjG1jQnbKR1QhnjHYyaxpn3zbmni0zOGLvUdb34u3ySa73mkvrhOwh2pjWyhWWPlgmbXt-xPH9jQEAYKyX09nP3eV6CK9K8U.webp,Edm.String,Sing,Edm.String,af408a0b-1230-4d9b-94bb-0be4dc95b850,Edm.String
f39955db-8774-4712-aeb6-96a14037a6a6,b9161bd8-b591-46ff-b078-096ea5abcfca,2018-12-29T13:50:27.430Z,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero.",Edm.String,,,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABXApvaSdmAEwW3WcW5Z0hF5F8MzwBUr6rJCZp3LPyJWq8vQFBAqWOg48NBi4CkZv4CPaRAxYOvgz_6zXaitO_5KlZH86Bt-3LyT69rUzq3OmlE_wChZSYKgsuRaoYu5aJKgwJ56Ax3I.webp,Edm.String,Kung Fu Panda,Edm.String,b9161bd8-b591-46ff-b078-096ea5abcfca,Edm.String
f39955db-8774-4712-aeb6-96a14037a6a6,befcd007-5a78-425b-96b6-822efc0d6311,2018-12-30T14:41:06.387Z,"Growing up with a renowned chef as his idol, Remy the rat develops a taste for fine food. But his culinary ambitions only anger his practical father.",Edm.String,1h 51min,Edm.String,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABcE3A4poCVcdEp4MWLE7Qc3_PO9gDemkPNoYXPbIYNDG8z9E8ws-Y664IIEySbcd8zDHDll3xjkk8cxaFDSyubIR6f0RhCfpfh0Z3mgMKidX0-q6tvjbOrwNPqeqGzcmOL8_lw1Boyw.webp,Edm.String,Ratatouille,Edm.String,befcd007-5a78-425b-96b6-822efc0d6311,Edm.String
f39955db-8774-4712-aeb6-96a14037a6a6,e786a9be-6b67-4a76-8501-4a377170b66f,2018-12-29T13:48:36.207Z,,,1h 30min,Edm.String,https://occ-0-3032-768.1.nflxso.net/dnm/api/v5/rendition/412e4119fb212e3ca9f1add558e2e7fed42f8fb4/AAAABS8ZV3GBKAWMEBTX3TkLJZH4rtZF7Iic0G8_lTq8N_RIVND_kr8QdvzBOZT5y4X_a5NBGGYVMG7EVJBud2iM9vcYMhLQvuHHPemOgBuKHz705-wynSIMjGvkeiJ7Nt5i3gOma2_YhxM.webp,Edm.String,Shrek the Third,Edm.String,e786a9be-6b67-4a76-8501-4a377170b66f,Edm.String
